sep=;
time;model_id;model_name;port_name;data
0;1;car_gen;;{car_count: 0}
0;1;car_gen;car_exit;0
0;1;car_gen;;{car_count: 1}
0.282062;1;car_gen;car_exit;1
0.282062;1;car_gen;;{car_count: 2}
1.50944;1;car_gen;car_exit;2
1.50944;1;car_gen;;{car_count: 3}
2.0037;1;car_gen;car_exit;3
2.0037;1;car_gen;;{car_count: 4}
4.27548;1;car_gen;car_exit;4
4.27548;1;car_gen;;{car_count: 5}
9.73279;1;car_gen;car_exit;5
9.73279;1;car_gen;;{car_count: 6}
11.1983;1;car_gen;car_exit;6
11.1983;1;car_gen;;{car_count: 7}
11.2687;1;car_gen;car_exit;7
11.2687;1;car_gen;;{car_count: 8}
12.7774;1;car_gen;car_exit;8
12.7774;1;car_gen;;{car_count: 9}
12.7929;1;car_gen;car_exit;9
12.7929;1;car_gen;;{car_count: 10}
12.9313;1;car_gen;car_exit;10
12.9313;1;car_gen;;{car_count: 11}
15.2529;1;car_gen;car_exit;11
15.2529;1;car_gen;;{car_count: 12}
15.2529;1;car_gen;;{car_count: 12}
